headline,inLanguage,datePublished,reviewBody,ratingValue,Company
Generelt er maden ok,da,2018-07-06T12:33:18Z,"Generelt er maden ok, men der kan gå længe hvor man ikke kan fange en tjener og få mere kartoffel og sovs. Vi har et par gange i år oplevet, at bøffen ikke levede op til forventningerne. Sidste gang var da vi skulle fejre min fødselsdag - bestilte en medium stegt bøf, den var gennemstegt. Fik en ny (da de andre var færdige med at spise) - den var så totalt rå! Blev tilbudt en ny, men da havde de andre ho været færdige længe",2,www.jensens.com
Helt fantastisk oplevelse ❤️,da,2018-07-06T12:26:18Z,"Helt fantastisk oplevelse, dejlig mad😍 sødt, venligt personale. Skøn betjening 👍..",5,www.jensens.com
Dejligt spisested.,da,2018-07-06T12:04:39Z,"Dejligt spisested.
Min mand og jeg er rimelig tit på Jensens i Horsens - men også andre steder f.eks. Kolding Storcenter og Odense - og syntes hver gang det er en fornøjelse at besøge Jensens!
Vi får en rigtig god betjening og tit også en lille snak med personalet. Bøfferne er helt i top. Menukortet har et godt og stort udvalg. Dog kunne jeg godt tænke mig at kartoffelmosen kom tilbage!",5,www.jensens.com
god betjening og bøffen er god,da,2018-07-06T11:59:47Z,god betjening og bøffen er god,4,www.jensens.com
Vi var inde og spise frokost på min…,da,2018-07-06T11:35:50Z,"Vi var inde og spise frokost på min fødselsdag d. 4. juli, og vi havde en fremragende oplevelse. Der var lidt knas med min mors bøf, men det blev løst, og hun fik hele sin bestilling gratis. Vi nød godt af den gratis dessert man får når man har fødselsdag og maden var rigtig god. Personalet sørgede for en god stemning og vi skal helt klart spise der igen",5,www.jensens.com
God mad,da,2018-07-06T11:28:12Z,"God mad, fin betjening. Yderst tilfreds - håber Jensens Bøfhus på rette vej igen :-)",4,www.jensens.com
Rigtigt god oplevelse som altid,da,2018-07-06T11:25:44Z,Rigtigt god oplevelse som altid,5,www.jensens.com
Jeg er kommet her over flere gange,da,2018-07-06T11:19:43Z,"Jeg er kommet her over flere gange. 
Jeg har været tilfreds med både betjening og maden hver eneste gang. 
Hvis man tænker sig om på de travle dage, syntes jeg de løser opgaven fint, det er ikke nemt at gøre alle tilfredse under pres, men jeg er godt tilfreds.",5,www.jensens.com
Vi har fået en perfekt frokost bøf /…,da,2018-07-06T10:34:44Z,Vi har fået en perfekt frokost bøf / kylling. God betjening. 😊👍,5,www.jensens.com
Tjeneren var super flink:) maden var…,da,2018-07-06T10:32:27Z,Tjeneren var super flink:) maden var tilfredstillende og jeg fik en god behandling.,4,www.jensens.com
God service,da,2018-07-06T10:28:48Z,"God service, god smag, god sommer!",5,www.jensens.com
Dårlig hygiejne omkring Jeres grøntsager.,da,2018-07-06T10:14:31Z,"I har en virkelig dårlig hygiejne omkring Jeres grøntsager. Der er jord på salaten til burgerne. Tre gange på een aften måtte jeg klage over tydeligt beskidt salat med jord på.  Blev ved med at få beskidt salat tilbage igen. Blev forsikret om, at selvfølgelig blev salaten skyllet, men det var jo tydeligt og beviseligt, at det gjorde den ikke. Piller altid salaten ud nu☹️",2,www.jensens.com
Overraskende positiv oplevelse!,da,2018-07-06T10:04:22Z,"Det var en overraskende positiv oplevelse at komme tilbage til Jensens efter en længere pause. God betjening, gode tilbud og lækker mad!",5,www.jensens.com
Dejligt med de nye tiltag og en god ide…,da,2018-07-06T09:56:42Z,Dejligt med de nye tiltag og en god ide med fodbold middage med ekstra gaver :-),4,www.jensens.com
Fantastisk med alle de nye retter,da,2018-07-06T09:53:45Z,"Fantastisk med alle de nye retter. God stemning.
Fik det møreste kød ever, dog med for meget Tayaki marinade på. Super ærgerligt når nu kødet var så mørt. Venlig betjening. Spurgte dog ikke hvordan maden smagte.",4,www.jensens.com
Kommer jævnligt hos Jensens Bøfhus i…,da,2018-07-06T09:25:37Z,Kommer jævnligt hos Jensens Bøfhus i Kolding. Altid god betjening og maden kan man ikke sætte en finger på!,5,www.jensens.com
Maden var rigtig god,da,2018-07-06T09:24:24Z,"Maden var rigtig god, men lang ventetid da jeg onsdag formiddag besøgte Jensens bøfhus i Herning centeret.",4,www.jensens.com
Fantastisk service,da,2018-07-06T09:13:25Z,"I Herning, Odense og Randers i hvert fald - har jeg aldrig oplevet noget svir ved Jensens bøfhus. Det er mit yndlings spisested,og hvis jeg havde pengene og muligheden for det, ville jeg gerne spise der mindst en gang om ugen.

Servicen har været i ekstrem topform de sidste 3 år hvor jeg har været kunde hos Jensens bøfhus, og jeg glæder mig allerede til næste gang.",5,www.jensens.com
super fin mad,da,2018-07-06T09:08:24Z,"super fin mad, til rimelige priser.",4,www.jensens.com
God kvalitet!,da,2018-07-06T09:07:37Z,"Gode bøffer og virkelig lækker kylling. 
Virkelig billigt i forhold til kvaliteten! Salatbaren er også god, og de råstegte kartofler er endelig tilbage. :)",5,www.jensens.com
Tak for sidst,da,2018-07-06T09:07:27Z,"Tak for sidst, i Herning, det var virkelig  en oplevelse at  spise der, og 

så med de  virkelige skønne serverings piger ( damer )

Clavs Draiby",5,www.jensens.com
Maden er altid god og stemningen i top,da,2018-07-06T09:00:05Z,"Maden er altid god og stemningen i top! Vi har aldrig haft noget at klage over, så det er vores fortrukne restaurant.",5,www.jensens.com
Super sted til en super pris som…,da,2018-07-06T08:58:37Z,"Super sted til en super pris som almindelige mennesker har råd til,jeg er tilfreds",5,www.jensens.com
i Kolding har de et meget imødekommende…,da,2018-07-06T08:42:55Z,"i Kolding har de et meget imødekommende personale og maden er super til prisen. Vi er især glade for frokostretterne og vil foreslå at man laver en bedsteforældre anretning som valg der størrelsesmæssigt skal ligge mellem voksen og barn portionerne, det er så ærgerligt når man slet ikke kan spise op",4,www.jensens.com
Super betjening,da,2018-07-06T08:41:20Z,"Super betjening, sødt personale altid med et smil.😉",4,www.jensens.com
God mad og betjening,da,2018-07-06T08:35:22Z,Har altid fået dejligt mad aldrig noget at klage over,5,www.jensens.com
God og billig frokostmad,da,2018-07-06T08:33:01Z,"God og billig frokostmad, og det er dejligt, at man kan få kartofler og sovs ad libitum.",4,www.jensens.com
Ok - men med lidt mangler,da,2018-07-06T08:10:30Z,"Det slår aldrig fejl - tager vi på Jensens får min søn altid noget forkert mad serveret og så skal han sidde og vente på hans mad bliver lavet igen - bare fordi han ikke vil have ost og bacon i sin burger... når det nu er sagt, så fik han pommes frites’er i ventetiden og han syntes at burgeren var rigtig god.
Min bagte kartoffel smagte dog mærkeligt og min datter var ikke vild med de krydderier der var på hendes rump steak... min kæreste syntes hans bøf var noget tør, men han gad ikke at sidde og vente på at en ny blev tilberedt... Bortset fra kartoflen smagte min mad rigtig godt - jeg savner dog en vegetar/veganer ret eller to at vælge imellem - på et tidspunkt smagte jeg vegetar risotto med en stor Porto Bello svamp til - det var på restauranten i Fruens Bøge - den smagte rigtig godt.",3,www.jensens.com
God gedigen mad,da,2018-07-06T08:07:06Z,"God gedigen mad. Der er rigeligt af den til god pris. Personalet er altid søde og hjælpsomme og smilende. Vi kommer primært i Hillerød. Dén kan vi anbefale :-) 5 stjerner er reserveret til det helt ekstraordinære. Jensens er godt til prisen, men ikke ekstraordinært, men det forventer vi heller ikke.",4,www.jensens.com
Rare og venlig betjening,da,2018-07-06T07:55:17Z,Rare og venlig betjening. Maden smager som man forventer - dejligt. Børnevenligt. Gode tilbud hvis man er medlem af Club Jensens.,5,www.jensens.com
Jeg synes det smager skønt og til en…,da,2018-07-06T07:54:39Z,Jeg synes det smager skønt og til en rigtig fin pris. Vi har også altid fået en fin service.,5,www.jensens.com
Kommer her ofte :-),da,2018-07-06T07:54:21Z,"Vi kommer ofte på Jensen, især i Svendborg hvor vi høre til :-)
Vi er yderst tilfredse med maden, prisen, service og ikke mindst det søde personale :-)
K H Karina",5,www.jensens.com
Har altid god kunne lide jer s mad og,da,2018-07-06T07:52:24Z,Har altid god kunne lide jer s mad og synes i gør det godt,4,www.jensens.com
Jeg elsker at spise på Jensens Bøfhus,da,2018-07-06T07:51:11Z,"Jeg elsker at spise på Jensens Bøfhus, især i Holbæk. Altid god behandling og super lækker mad, dertil gode priser, hvad mere kan man forlange. Mvh. Else Marie Jensen",4,www.jensens.com
Jeg har altid været tilfreds!,da,2018-07-06T07:47:47Z,Jeg har altid været tilfreds og nydt det når jeg har været på  Jensens Bøfhus! 👍,5,www.jensens.com
Har kommet der siden de åbnede med min…,da,2018-07-06T07:46:32Z,"Har kommet der siden de åbnede med min papsøn som restautionchef.  Ronni Borregård,mener det var i 1992. Det er en god restaution med en helt fantastisk restautionchef. .....i Daniel",5,www.jensens.com
Super mad,da,2018-07-06T07:43:08Z,Får altid dejlig mad og en super betjening,5,www.jensens.com
Har altid kun haft gode oplevelser på…,da,2018-07-06T07:37:55Z,Har altid kun haft gode oplevelser på Jensens de steder jeg er kommet. Både maden og betjeningen har været god og lavet op til mine forventninger.,5,www.jensens.com
Fantastisk service og god mad,da,2018-07-06T07:35:27Z,"Fantastisk service og god mad, spiser der ofte. Også som take away,",5,www.jensens.com
Fantastisk sted,da,2018-07-05T19:42:02Z,"Fantastisk sted, og dejlig betjening!",5,www.jensens.com
God sovs,da,2018-07-05T18:09:36Z,Gode spareribs og faveritsovsen er perfekt,4,www.jensens.com
Hillerød - En Joke pga en tjener !!!!,da,2018-07-05T18:05:16Z,"Jeg plejer at bruge Roskilde som desværre er lukket. Derfor sidder vi nu i Hillerød og nyder en flot udsigt til slottet. 
Tjener er lidt vag i det ved bestilling, virker ikke trænet, spørger dog om vi vil have vores forret samtidig med børnenes hovedret som vi takker ja til. 
Hovedretten venter vi 30 min på, den smager godt som forret også gjorde.
Bestiller en refill øl som det tager tjeneren 10 min at komme med til trods får at han går forbi os 3 gange for at ekspederer andre borde.
Vi skal have 2 desserter i forhold til vores menu bestilling, han kommer med den første(bananasplit)og siger vi lige starter med den og den anden er på vej.
Da min gamle mor er færdig med sin dessert og jeg stadig ikke har modtaget min mener jeg det er på sin plads at jeg burde have modtaget min. Jeg går derfor op og spørger hvor den bliver af, hvorpå han svarer at den kommer om 1-1/2 minut. Fint fint svarer jeg, men hvad skete der med dit start spørgsmål om at få maden samtidig. 
Sorry, men det var en virkelig dårlig oplevelse af dette sted på grund af en tjener.
Jeg kommer jer ikke igen af frygt for at det generelt er sådan i Hillerød.",1,www.jensens.com
Lækker mad,da,2018-07-05T17:51:16Z,"Lækker mad, dog lidt lang tid at vente.",4,www.jensens.com
Super god betjening og lækker mad,da,2018-07-05T17:25:08Z,"Super god betjening og lækker mad, som altid på Jensen's bøfhus i Hillerød",5,www.jensens.com
Rigtig lækker mad og god betjening som…,da,2018-07-05T17:18:01Z,Rigtig lækker mad og god betjening som altid i Hillerød,5,www.jensens.com
Super service....,da,2018-07-05T17:13:17Z,"Super service..... Hurtig service.... Gode bøffer..... Og vilde priser❤️

Vi kommer igen igen igen",5,www.jensens.com
Veldig god mat og hyggelig service 😄…,da,2018-07-05T16:39:42Z,Veldig god mat og hyggelig service 😄 Vi var på Jensens bøfhus i Aalborg nytorvet 😄,5,www.jensens.com
Hmm....,da,2018-07-05T16:06:53Z,Hyggeligt med udsigt til Hillerød slot,2,www.jensens.com
God bøf eller gratis,da,2018-07-05T12:30:57Z,"Min veninde og jeg bestilte hver en frokostbøf i dag i rosengårdcenteret i Odense. 
Hun skulle have rå mens jeg skulle have medium stegt... Min venindes var medium stegt og min var sej og fuld af sener. 
Vi fik nye bøffer med nyt tilbehør, som var lige i øjet... og konceptet god bøf eller gratis er en rigtig fin gestus. Vi spiste gratis og gik glade og tilfredse hjem. Tak for dét 😊",4,www.jensens.com
God betjening,da,2018-07-05T11:40:46Z,God betjening,5,www.jensens.com
"Dejlig dag,og god mad kommer igen",da,2018-07-05T11:31:50Z,"Dejlig dag,og god mad kommer igen. 10 kokke huer til jer",4,www.jensens.com
Jensens Aalborg,da,2018-07-05T11:29:37Z,"Dejligt besøg på jensens Aalborg, maden var rigtig fin.",4,www.jensens.com
De er altid gode til at hjælpe,da,2018-07-05T11:29:20Z,"De er altid gode til at hjælpe, selvom tingene ikke lige er i top.",3,www.jensens.com
Køber tit jeres saucer og sybes de er…,da,2018-07-05T10:05:26Z,Køber tit jeres saucer og sybes de er vildt gode :-),5,www.jensens.com
Vi ville nyde aftens maden hos jer,da,2018-07-04T18:39:59Z,Vi ville nyde aftens maden hos jer. Men øv øv rosé vinen havde ikke været på køl. Vi fik sommer menuen med asparges bøf har aldrig set så små og tør grillede asparges uden hoveder. Is desserten virkede til at ha stået på tallerkner noget tid idet den var smeltet i bunden og rigtig blød. Ingen salt i kværnen og vi bestiller regninger bliver beløbet bare sagt uden fremlægning af regning . Det gør man bare ikke. Dog var smagens i orden men helheds indtrykket bliver dårligt af så mange dumme fejl. Tingene burde være i orden.,3,www.jensens.com
Super og hurtig betjening med et smil,da,2018-07-04T18:12:01Z,Super og hurtig betjening med et smil. Tjeneren (Cecilie) var derudover fantastisk nærværende og hjælpende både overfor vores børn og vores forespørgsler.,5,www.jensens.com
God mad,da,2018-07-04T12:00:14Z,"God mad! 
Lækker saftig kylling, sprøde pomfritter og lækker salatbar. God betjening og godt humør.
Aalborg Centrum",5,www.jensens.com
Super god mad og fin salatbar,da,2018-07-04T11:56:59Z,"Super god mad og fin salatbar, samt rigtig god betjening.",5,www.jensens.com
Super god service i Silkeborg i dag,da,2018-07-04T11:15:19Z,Super god service i Silkeborg i dag. Der er virkelig sket meget siden jeg sidst var der for lidt over 2 år siden.,5,www.jensens.com
Super oplevelse i Odense!,da,2018-07-04T10:24:46Z,Super oplevelse i Odense!,5,www.jensens.com
Har i dag spist frokost hos Jensens i Wave/Hundige,da,2018-07-03T17:07:40Z,"Besøgte lige Hillerød i går med samme gode oplevelse som Waves vi normalt besøger.
Maden var super, så heller ikke i dag var der ""gratis"" bøf. Jeg tror ikke jeg nogensinde vil opleve det !
Målt på de øvrige to nærmeste bøf-restauranter i markedet, er Jensens Bøfhus det bedste på kvalitet og pris.  Fortsæt med det....
Altid venlig betjening.
5 kokkehuser igen.",5,www.jensens.com
Har aldrig nogensinde oplevet mere sløv…,da,2018-07-03T16:13:16Z,Har aldrig nogensinde oplevet mere sløv og ligegyldig servering som de præsterer på jensen i skalborg.. vi bestilte aftenmenu. For det første tog det en krig og da vi spurgte efter desserten havde de glemt at lave det...,1,www.jensens.com
Et glædeligt gensyn!,da,2018-07-03T07:43:49Z,"Jeg har ikke været på Jensens Bøfhus siden jeg var teenager men kan kun sige at mit seneste besøg for nylig var et glædeligt gensyn! Sød betjening, god MØRbrad og selvfølgelig den klassiske softice der vækkede barndommens gode minder. Godt gået Jensens, vi ses snart igen :-)",5,www.jensens.com
Vi er stamkunder hos Jensens,da,2018-07-02T18:05:07Z,Vi er stamkunder hos Jensens. Vi ved at vi altid får en god bøf med en lækker pebersovs,5,www.jensens.com
En god betjening og godt mad 😀,da,2018-07-02T18:04:40Z,En god betjening og godt mad 😀,5,www.jensens.com
Jensens I Randers,da,2018-07-02T15:19:17Z,"Har for 2. gang været hos Jensens i Randers og  Servicen er bare i orden og maden kommer hurtigt. 
 I er dog lidt nærrige med kartoflerne til portionerne og saucen er ( hos alle de Jensens jeg har været hos) altid  lunken, hvorfor kan i ikke holde den varm til den serveres?",3,www.jensens.com
Meget tilfreds :),da,2018-07-02T15:05:45Z,"Så hyggeligt man kan sidde udenfor og nyde det dejlige vejr, lækker mad de servere, glad og smilende betjening :-) ..",5,www.jensens.com
Altid en fremragende service hos deres…,da,2018-07-02T12:47:39Z,Altid en fremragende service hos deres afdeling i Kolding storcenter.,5,www.jensens.com
Under bedring :),da,2018-07-01T16:15:27Z,"Vi har tit været på Jensens pga. den gode mad, gode tilbud og gode service. Det dykkede noget nedad i oplevelsen for et år - halvt års tid siden hvor både mad og service var under skarp kritik, men det lader til at være på vej opad igen. 

I dag har vi fået super god mad, super sød service og de gode tilbud i sommermenuerne giver et frisk pust og en god oplevelse :)

(Der er desværre stadig lidt problemer med larm i lokalet, men det er nok ikke så let at komme til livs. Derudover er takeaway, desværre, en helt anden sag og anden oplevelse.,..)",5,www.jensens.com
"God, især til prisen",da,2018-07-01T16:08:52Z,"Deres tilbage til rødderne-koncept virker, samtidigt er der sæsonmenuer som giver et godt tilbud.

Min kone og jeg kan godt lide deres burgere, og til prisen er de kanon gode - restaurantoplevelser som er ligeså billige som at købe pizza hos den lokale.

Nogle gange er der så mange mennesker at bestillingerne tager tid men det er vel sådan alle steder.",5,www.jensens.com
Stor venlig betjening Holstebro,da,2018-07-01T15:38:59Z,"Dejlig service,God hygge omkring gæsterne.Et dejligt sted at komme i Holstebro",5,www.jensens.com
God betjening og smukke omgivelser i…,da,2018-06-30T18:23:25Z,God betjening og smukke omgivelser i Odense ved Skovsøen. Alt var som det skulle være.,5,www.jensens.com
Helt unikt til prisen,da,2018-06-30T17:23:40Z,Helt unikt til prisen. Alt fungerede.,5,www.jensens.com
Fin oplevelse hvor servering var hurtig…,da,2018-06-29T10:56:30Z,"Fin oplevelse hvor servering var hurtig selvom vi fik at vide fra starten at der var lidt ekstra ventetid.
Maden smagte godt og der var absolut intet at sætte fingeren på.
Venlige tjenere der havde tid ved bordene.",5,www.jensens.com
God service,da,2018-06-29T10:56:05Z,"God service, lækker mad og gratis kaffe. Hvad mere kan man ønske sig?",4,www.jensens.com
Jensens bøfhus Svendborg er det bedste…,da,2018-06-29T10:50:55Z,Jensens bøfhus Svendborg er det bedste spisested. Dejlig omgivelser og personale. Altid en fornøjelse :) Tag ned og spis der!,5,www.jensens.com
Hvis der var muligt,da,2018-06-22T15:20:58Z,"Hvis der var muligt, så fik de ingen stjerner. 

Maden var kold da den ankom, der var fejl i bestillingerne og vente tiden på et bord var simpelthen alt for lang.

Her kommer vi ikke igen.",1,www.jensens.com
Spiste på jensens bøfhus i tilst.,da,2018-06-22T13:37:09Z,"Spiste på jensens bøfhus i tilst.

Først ventede vi 20 min. På et bord, selvom restauranten næsten var tom. 

Vi fik så et bord og bestilte. Efter 1 time kom maden så. 

Tre af os havde bestilt frokost menu og én bestilte en snackkurv. 

På den ene bøf lå et langt hår, den anden var så rød at den aldrig har set skyggen af varme inden den blev serveret, alle bøffer var is kolde. 

Den sidste person bestilte snackkurv og hvidløgsbrød uden ost. Hvidløgsbrødet var svøbet ind i et lag af ost og dyppelsen ankom først til bordet da vi var færdige med at spise, på trods af at vi havde spurgt efter det da maden først ankom.",1,www.jensens.com
Vi var på Jensens Bøfhus i weekenden,da,2018-06-21T22:35:40Z,"Vi var på Jensens Bøfhus i weekenden, og spiste bøf med kartofler og salat til. Bøffen var meget mør, og præcis (rød) som vi bestilte den. Vi bestilte øl til maden, og derefter ""refill"" for kun 15 kr. ekstra pr. øl. Alt i alt en dejlig oplevelse. Derudover får vi som ""medlemmer"" 10% rabat i form af ""points"", som vi kan bruge ved næste besøg.
Vi kommer helt sikkert igen.",5,www.jensens.com
Rigtig uheldig fødselsdag i Sønderborg,da,2018-06-18T18:27:32Z,"Kære Jensens,

For ca 6 måneder siden var vores familie på Jensens Bøfhus i Sønderbørg, og da vi gik fik vi udleveret et Club Jensen kort med besked om at der så var gratis dessert når man havde fødselsdag(plus/minus en uge).

I dag havde vi så aftalt med mellemste søn at hans seks års fødselsdag skulle være på Jensens og vi havde inviteret mormor og morfar. Og vi havde lovet gratis dessert til alle for det havde vi jo fået at vide og læst på nettet. Da vi så nævnte det til tjeneren fik vi at vide at det kun var hvis man havde modtaget en mail at dette tilbud var gyldigt. Og sådan en mail kunne vi ikke fremvise. Vi havde opgivet både email og telefonnummer ved oprettelse for 6 måneder siden og forstod at det var rigeligt, men kunne så her til aften forstå at det ikke var nok. Og der blev her til aften gjort meget tydeligt opmærksom på at det altså var vores egen skyld fordi vi ikke havde aktiveret kortet, og at vi skulle have læst det med småt. Jeg læste jeres hjemmeside og var overbevist om at alt var i skønneste orden da jeg bestilte bord til fødselsdagen. (Og jeg kan heller ikke ved genlæsning se at jeg har overset det med småt…). 

 Det var alt i alt en rigtig pinlig oplevelse, og sjældent har jeg følt mig så personligt til grin. 

Vi kommer næppe til at bruge de point der blev sat ind på kortet i Jensens igen, og der findes heldigvis mange andre muligheder for at fejre fødselsdag i Sønderborg. 

Jeg ønsker jeg al mulig held og lykke med jeres forestående turnaround, men jeg kan ikke anbefale jer at spare en liter softice og lidt slik mod at miste to familier som fremtidige kunder plus dårlig anmeldelser i vores netværk, trustpilot mv. , fordi at jeg ikke havde læst det med småt.",1,www.jensens.com
Jeg har intet at sætte en finger på…,da,2018-06-17T18:58:26Z,"Jeg har intet at sætte en finger på efter mine gentagne besøg hos Jensens Bøfhus i Horsens
I fredags besøgte vi dem igen og servicen var virkelig i top. Altid et smil på læben fra medarbejderne og maden smagte fantastisk. 
Det er tydeligt at mærke, der er kommet nye kræfter til de sidste år, og det er en fornøjelse at komme dernede. 
Jeg anbefaler stedet til dem jeg kender, og har haft flere familier med derned de seneste 3 år. 
Et stort plus er også, at i har fået ""det gamle"" menukort tilbage.  
FEM stjerner herfra :)",5,www.jensens.com
Min familie og jeg,da,2018-06-17T16:08:03Z,"Min familie og jeg, var inde hos jer sidste søndag 10/6 ca 15:30 tiden i jeres restaurant i Hillerød.
Aldrig har vi oplevet så dårlig en service. Vi sad udenfor, for det første var det sjældent der kom en tjener ud til os, selvom der sad 4 andre personer herude.

Da vi så får vores mad. Der var burgeren God. Børnemenuerne også gode. 
Men da vi kom bøfferne, så var de alle gennemstegte, 2 af dem skulle have været medium. Og da vi påpeger det for den ansatte tager han bøfferne med ud. Og vi kan så se, at når vi går ind for at tage salatbar, så bliver vi virkelig set ned på, af hende som var der. Og det er hvergang en af dem fra vores bord er derinde, enten og tage salat eller is.

Vi får så nogle nye nogle, mens de andre har spist færdig får vi endelig vores tilbage. Troede vi. For begge 2, var rigtig meget rå inden i. Vi bliver tilbudt at de kan lave dem om, men her har de andre jo allerede spist deres mad. Så ville vi helst ikke sidde og vente yderligere 10 min på nye bøffer. 
I gik så med til at slette dem på regningen. Det er også fint ( derfor 1 stjerne) 
Men da den ene fra bordet har bestilt flere pomfritter og da de så kommer ned til os, så kommer den mest latterlig kommentar af jeres ansat, "" Jeg håber de er stegt rigtigt denne gang"" Aldrig har vi hørt sådan en latterlig og nedførende kommentar fra en ansat. Dette er under alt kritik at i har en sat der kan finde på at sige dette. Det er et service fag i er i, i lever af jeres kunder.

Hvorfor mon i hvert år kommer ud med et større og større underskud, Bare her i 2017, kommer i ud med et minus på 157 millioner før skat, samt at jeres omsætning er gået tilbage med 571 millioner. 

Der er 3 steder, hvor jeg har oplevet en oplevelse til mere end 5 stjerner. Det er i Læssøegade, Svendborg og på Axeltorv ( hvor jeg var i maj måned )",1,www.jensens.com
Elsker deres saucer og køber dem tit…,da,2018-06-17T00:19:44Z,Elsker deres saucer og køber dem tit hjem til :),5,www.jensens.com
Jensens bøfhus Holbæk,da,2018-06-15T18:33:38Z,"Har lige været hos Jensens i Holbæk for første gang i 30 år tror jeg, da jeg havde fået et gavekort.
Og det var da slet ikke så dårligt, fik en 3 retters til 179 og en halv liter fadøl til 55 kr, da jeg så skulle have en halv liter mere kostede den 15 kr. 
Jeg kan ikke klage til den pris.",4,www.jensens.com
Fik Take away på jensens bøfhus i 6715…,da,2018-06-14T17:56:38Z,"Fik Take away på jensens bøfhus i 6715 Esbjerg N

Maden vi fik var helt kold. 

Så i skuffer mig igen. 

Sidste gang jeg bestiller mad derfra",1,www.jensens.com
Jensens Bøfhus Holstebro,da,2018-06-14T11:29:17Z,"Jensens Bøfhus Holstebro
Fantastisk restaurant, betjening, service helt i top. Maden er fantastisk. 
De bedste anbefalinger, Jensens er generel min ynglings restaurant",5,www.jensens.com
Tjæner som på ingen måde hold øje med kunderne. Kostede mig frokost tilbudet.,da,2018-06-06T15:44:01Z,"Da jeg I dag d. 6 Jun. Var mellemlandet i Hillerød, på vej til faxe, sulten og træt, var det kærtkomment at se et Jensen bøfhus på vejen. Tilmed kunne jeg lige nå frokost tilbudet. 👍 😊 Troede jeg.....😪 For jeg satte mig ned og ventede pænt på at tjæneren, Simone, fandt jeg sidenhen ud af, kunne finde tid til at henvende sig til mig. Jeg satte mig ude i det gode vejr ved et rygerbord, og der var på det tidspunkt kun gæster ved et andet bord. Jeg ventede og ventede og ventede, for til sidst at anråbe en anden tjæner som kom ud. Dels ville jeg sikre mig at kundeparkeringen var registreret og dels gerne bestille I tide. Bevares jeg kom da vel sent, kl var 1554 da jeg satte mig, men da jeg endelig var lykkedes med at få opmærksomhed var klokken blevet 1611. Jeg spurte tjæneren, en ung mand om jeg som forventet stadigvæk kunne bestille en frokost bøf... Det kunne jeg ikke, og selv om jeg gjorde opmærksom på at jeg jo længe høfligt havde ventet til tjæneren var færdige med at snakke med hinanden, var der ikke noget at gøre. Sulten som jeg var, besluttede jeg at spise det samme som jeg ville have gjort før 1600 nu bare til 159kr istedet for 99. Bestilte, samt en halv litter faxe K, Xtra kartofler og sovs.  Maden kom og jeg dykkede ned. Sulten som jeg var, havde jeg hurtige spist de kartofler og det halve af min 230 g steak. Så jeg ventede på hun nu skulle komme og høre om maden var ok og om jeg manglede noget... Jeg ventede og ventede og ventede.... Så startede jeg er stopur og besluttede at give hende yderligere 8 min til at se til sine kunder, men nej. Nu med kold bøf, rejste jeg mig fra bordet og fandt hende i baren snakkende med en kollega. Jeg spurte hende om jeg kunne bede om lidt flere kartofler, og hvis de kunne lidt sprøde denne gang. Hun svarede af det ville hun se på. Yderligere 10 min efter kom mine kartofler så. Bøffen var faktisk lækker, og også fin nok kold, kartofler og sovs ligeledes ok. Mæt med en lang tur hjem, ville jeg gerne have en kaffe og betale. Prøv at gætte... Jeg ventede og ventede og fik nok efter 15 min, så jeg fandt nummeret på nettet og ringede til dem. Minsandten efter 8 kald tog Simone røret. Da jeg spurte om hun ikke kunne tænke sig at komme ud og se til sine kunder, fattede hun ikke hvad jeg snakkede om, efter forgæves forsøg på flere varianter, sagde jeg at jeg sad uden for og gerne ville betale. Det hjalp. Så ud over at blive professionelt ignoreret, at måtte betale 159 istedet for 99 for min bøf, og måtte hente hende indenfor for at få flere kartofler og ringe til hende for at få lov at betale, var det en framragende oplevelse at besøge Jensen bøfhus igen. En tur over knæet ville måske hjælpe.. Jannick.",2,www.jensens.com
skulle på jensens bøfhus på fars dag,da,2018-06-05T11:43:31Z,"skulle på jensens bøfhus på fars dag, ringede og bestilte bord hvor vi fik at vide at vi blot kunne komme, 15 min efter var vi der, blev mødt af en uhøflig tjener som sagde vi ikke måtte sætte os ned og der var andre der havde bestilt borde da vi havde ventet ca 30 min fik vi at vide at de kun var to på arbejde og vi skulle vente yderligere ca 30 min meget dårlig planlægning og glædelig Fars dag med lovede gratis øl som ikke blev til noget",1,www.jensens.com
Idag,da,2018-06-02T16:14:12Z,"Idag, Lørdag d.2 juni var min søn og jeg på Jensens bøfhus på Axeltorv, ved Vesterport, og må desværre tilstå at vi ikke kommer der igen.
Magen til uvenligt personale skal man lede længe efter. Vi sad over 30min ved bordet bare for at vente på at bestille vores mad. Bordet ved siden af os havde bestilt, og næsten spist deres mad da jeg høfligt prøvede at kontakte en af servitricerne, for at bestille. Det blev besvaret med en snerreren mine SOM OM VI VAR TIL BESVÆR. -Ja jeg kommer om lidt!!! Blev der snerret højlydt, så ikke bare jeg, men også gæsterne omkring kiggede chokeret. Vi rejste os med det samme, og gik over på den anden side af vejen og fik en super service og dejlig mad. 
Det har ellers været en tradition i min familie at gå på Jensens bøfhus, men det stopper nu. 
Jeg anbefaler derfor at i finder et andet sted at ligge jeres tid og penge.",1,www.jensens.com
